iter	RMSE
0	77092.99568
1	74962.33184
2	72935.99464
3	70979.27216
4	69110.00629
5	67288.28728
6	65742.17201
7	64128.85235
8	62515.0776
9	61022.82819
10	59462.02406
11	58073.60436
12	56800.60875
13	55552.55759
14	54370.01468
15	53199.96989
16	51935.46415
17	50976.72341
18	49900.5443
19	48948.72962
20	48004.27254
21	47037.35437
22	46185.65588
23	45304.63805
24	44485.1006
25	43632.87113
26	42890.77005
27	42118.45188
28	41391.41052
29	40656.4002
30	39891.63591
31	39272.79199
32	38743.33885
33	38136.97992
34	37548.70459
35	37044.70886
36	36502.52562
37	35955.91849
38	35481.48009
39	34977.36323
40	34514.49758
41	34109.58405
42	33673.84513
43	33261.19767
44	32827.74099
45	32483.86334
46	32093.42111
47	31690.3016
48	31343.23952
49	30992.77835
50	30700.4063
51	30387.91843
52	30074.75533
53	29732.71398
54	29380.34487
55	29111.26525
56	28825.21002
57	28539.82631
58	28300.83815
59	28013.86501
60	27819.96692
61	27591.13646
62	27402.01977
63	27278.09462
64	27040.08293
65	26829.0224
66	26568.03564
67	26391.47114
68	26219.45372
69	26061.17282
70	25843.69988
71	25669.26854
72	25506.78594
73	25319.51818
74	25134.43544
75	24938.11289
76	24811.25766
77	24594.66146
78	24454.76533
79	24310.79767
80	24153.67731
81	24010.81939
82	23871.56135
83	23733.39629
84	23610.68193
85	23464.79383
86	23351.56301
87	23255.79838
88	23141.21166
89	23007.21123
90	22908.07711
91	22813.91324
92	22708.32945
93	22599.1704
94	22489.22597
95	22420.71868
96	22334.66663
97	22261.718
98	22195.37436
99	22093.92494
100	22010.10055
101	21926.54982
102	21858.11135
103	21775.94316
104	21676.69886
105	21578.67723
106	21503.93109
107	21409.55611
108	21331.35617
109	21265.06606
110	21205.78169
111	21138.63676
112	21046.19562
113	20982.69777
114	20931.31845
115	20891.6869
116	20806.48816
117	20745.66728
118	20676.9552
119	20618.64633
120	20577.11046
121	20507.40797
122	20429.94743
123	20402.93626
124	20359.02315
125	20296.00087
126	20234.16046
127	20178.45621
128	20090.89525
129	20009.925
130	19919.65002
131	19892.90829
132	19827.48448
133	19788.01146
134	19750.44586
135	19683.79661
136	19614.89403
137	19587.65151
138	19491.39794
139	19426.74213
140	19388.72773
141	19349.61403
142	19305.82318
143	19249.552
144	19200.98708
145	19136.39827
146	19093.97128
147	19041.81867
148	18999.20858
149	18924.77089
150	18874.08426
151	18839.49074
152	18799.93647
153	18744.72817
154	18707.67037
155	18630.03947
156	18589.7923
157	18529.19562
158	18489.78438
159	18453.21148
160	18423.96507
161	18394.48769
162	18318.16689
163	18277.02262
164	18239.36648
165	18204.15535
166	18152.22171
167	18109.81281
168	18078.32617
169	18026.81195
170	17968.72707
171	17916.81439
172	17896.15386
173	17860.85904
174	17825.96197
175	17786.78844
176	17750.83699
177	17697.1099
178	17668.71653
179	17624.81343
180	17598.52359
181	17567.18967
182	17541.96443
183	17524.60358
184	17495.49337
185	17459.39426
186	17433.17172
187	17397.48259
188	17372.72032
189	17341.97616
190	17289.95227
191	17259.50114
192	17200.98098
193	17158.01937
194	17135.34084
195	17088.73969
196	17072.638
197	17016.08662
198	17003.06614
199	16992.10254
200	16959.69186
201	16933.4672
202	16888.48184
203	16876.86609
204	16825.21928
205	16815.06996
206	16790.12551
207	16764.56312
208	16736.32922
209	16677.68076
210	16654.68298
211	16605.98665
212	16573.93781
213	16536.18634
214	16484.72187
215	16456.78173
216	16411.06811
217	16360.15211
218	16322.0933
219	16277.78745
220	16256.73948
221	16224.97607
222	16184.77592
223	16176.58491
224	16137.67538
225	16110.2631
226	16086.2279
227	16058.21645
228	16029.48332
229	15995.4941
230	15961.03137
231	15940.1194
232	15926.42795
233	15887.1437
234	15879.44115
235	15842.22577
236	15824.67669
237	15815.33454
238	15775.7404
239	15758.91117
240	15724.465
241	15709.05043
242	15666.70736
243	15654.43497
244	15614.24739
245	15588.37361
246	15536.24628
247	15501.94181
248	15465.24705
249	15418.81517
250	15379.65449
251	15358.20428
252	15316.91294
253	15286.37459
254	15264.08321
255	15228.85413
256	15216.99328
257	15176.15957
258	15139.01693
259	15112.88921
260	15080.42532
261	15051.84193
262	15035.73933
263	15002.43851
264	14968.09239
265	14944.62133
266	14906.78174
267	14886.00586
268	14879.18953
269	14854.04802
270	14836.3867
271	14808.03126
272	14775.47936
273	14755.0787
274	14730.68815
275	14690.90524
276	14651.11314
277	14638.83095
278	14605.60072
279	14568.92856
280	14535.93525
281	14511.53747
282	14496.63491
283	14468.39413
284	14432.30181
285	14413.22662
286	14375.55837
287	14345.01682
288	14317.25549
289	14289.3132
290	14277.37559
291	14265.51581
292	14248.30379
293	14242.63768
294	14213.32143
295	14188.8979
296	14163.65392
297	14141.72215
298	14114.52352
299	14093.03851
300	14065.70715
301	14035.37779
302	14002.6888
303	13975.63113
304	13954.54536
305	13947.07376
306	13925.49093
307	13889.35587
308	13868.8176
309	13844.97325
310	13825.31961
311	13780.9556
312	13776.31275
313	13742.63927
314	13716.7165
315	13707.01431
316	13683.79946
317	13663.66217
318	13649.60773
319	13629.7912
320	13613.43544
321	13605.03808
322	13576.90511
323	13557.01415
324	13551.44735
325	13527.57686
326	13497.997
327	13474.15518
328	13441.33995
329	13434.84479
330	13414.69733
331	13400.98488
332	13378.60478
333	13348.79304
334	13330.30699
335	13300.85242
336	13277.77719
337	13264.08354
338	13233.69726
339	13211.91904
340	13190.67625
341	13170.2559
342	13151.50642
343	13128.98801
344	13113.07519
345	13096.51763
346	13067.36703
347	13058.57717
348	13030.54298
349	13014.48617
350	13011.56463
351	12994.9511
352	12975.09283
353	12956.13416
354	12935.40464
355	12916.54043
356	12902.6395
357	12879.305
358	12857.14562
359	12828.84426
360	12822.80454
361	12798.95808
362	12774.41376
363	12752.5958
364	12734.73483
365	12726.94316
366	12705.11649
367	12688.4969
368	12669.76827
369	12649.19187
370	12643.01062
371	12630.26549
372	12615.51353
373	12601.08774
374	12585.76168
375	12561.5822
376	12535.94006
377	12520.0014
378	12518.31151
379	12516.19936
380	12500.71458
381	12470.12607
382	12456.69086
383	12439.73127
384	12413.77434
385	12398.19558
386	12381.20908
387	12378.74961
388	12354.86883
389	12352.21085
390	12336.29007
391	12318.01935
392	12309.69243
393	12283.70458
394	12267.60919
395	12250.88188
396	12234.26128
397	12207.22249
398	12184.89767
399	12182.33253
400	12162.58756
401	12153.91434
402	12134.0575
403	12129.49964
404	12106.83207
405	12074.02559
406	12055.98375
407	12042.0242
408	12018.55757
409	12014.7341
410	11993.58084
411	11979.61945
412	11965.3364
413	11944.92515
414	11923.45932
415	11903.28939
416	11895.27267
417	11873.03351
418	11853.77465
419	11836.2869
420	11833.89849
421	11815.57705
422	11800.59555
423	11793.44526
424	11789.36264
425	11770.17471
426	11744.39501
427	11726.77182
428	11723.0923
429	11711.45929
430	11709.51369
431	11685.9346
432	11674.9997
433	11661.05697
434	11648.40708
435	11621.14113
436	11592.97909
437	11565.56501
438	11548.46094
439	11536.98305
440	11520.29254
441	11518.02105
442	11508.22223
443	11491.66166
444	11489.87843
445	11488.28988
446	11476.13862
447	11463.23878
448	11452.67653
449	11437.69614
450	11415.47223
451	11397.79146
452	11396.29728
453	11381.37596
454	11367.8926
455	11353.23952
456	11327.75662
457	11306.73797
458	11299.9662
459	11280.7381
460	11259.74736
461	11244.32678
462	11231.06324
463	11203.86284
464	11194.02986
