iter	Passed	Remaining
0	3	3406
1	6	3020
2	8	2784
3	11	2753
4	13	2741
5	16	2663
6	18	2630
7	20	2584
8	23	2540
9	25	2528
10	27	2517
11	30	2488
12	32	2462
13	34	2453
14	37	2436
15	39	2404
16	41	2412
17	44	2405
18	46	2397
19	48	2389
20	50	2374
21	53	2367
22	55	2356
23	57	2352
24	59	2337
25	62	2334
26	64	2324
27	66	2311
28	68	2295
29	70	2286
30	72	2280
31	75	2276
32	77	2269
33	79	2259
34	81	2249
35	83	2245
36	85	2235
37	87	2227
38	90	2223
39	92	2211
40	94	2205
41	96	2196
42	98	2187
43	100	2178
44	102	2171
45	104	2166
46	106	2163
47	108	2156
48	110	2148
49	112	2142
50	114	2137
51	116	2130
52	118	2123
53	120	2119
54	123	2115
55	125	2111
56	127	2108
57	129	2103
58	131	2098
59	133	2091
60	135	2087
61	137	2083
62	139	2080
63	141	2075
64	144	2071
65	146	2068
66	148	2062
67	150	2058
68	152	2051
69	154	2048
70	156	2045
71	158	2042
72	160	2038
73	162	2035
74	164	2030
75	166	2028
76	168	2025
77	171	2023
78	173	2021
79	175	2015
80	177	2013
81	179	2009
82	181	2005
83	183	2000
84	185	1995
85	187	1991
86	189	1987
87	191	1983
88	193	1980
89	195	1975
90	197	1970
91	199	1966
92	201	1962
93	203	1960
94	205	1958
95	207	1955
96	209	1953
97	211	1949
98	213	1946
99	215	1943
100	218	1940
101	220	1943
102	222	1939
103	224	1937
104	226	1934
105	228	1930
106	230	1926
107	232	1924
108	234	1920
109	236	1916
110	238	1913
111	240	1910
112	243	1907
113	245	1905
114	247	1902
115	249	1900
116	251	1895
117	253	1893
118	255	1890
119	257	1887
120	259	1884
121	261	1881
122	263	1878
123	265	1875
124	267	1873
125	269	1870
126	271	1868
127	273	1863
128	275	1861
129	277	1857
130	279	1854
131	281	1852
132	283	1850
133	285	1846
134	287	1843
135	289	1841
136	292	1839
137	293	1836
138	295	1833
139	298	1830
140	300	1828
141	302	1826
142	304	1823
143	306	1820
144	308	1818
145	310	1816
146	312	1814
147	314	1811
148	316	1808
149	318	1805
150	320	1803
151	322	1800
152	324	1797
153	326	1794
154	328	1791
155	330	1789
156	332	1786
157	334	1782
158	336	1781
159	338	1778
160	340	1775
161	342	1772
162	344	1769
163	346	1767
164	348	1765
165	350	1762
166	353	1761
167	355	1758
168	357	1756
169	359	1753
170	361	1750
171	363	1748
172	365	1745
173	367	1742
174	369	1740
175	371	1737
176	373	1734
177	375	1732
178	377	1729
179	379	1727
180	381	1724
181	383	1721
182	384	1718
183	386	1715
184	389	1713
185	390	1710
186	392	1708
187	394	1705
188	396	1702
189	398	1699
190	400	1697
191	402	1694
192	404	1692
193	407	1690
194	409	1688
195	411	1686
196	413	1684
197	415	1682
198	417	1680
199	419	1678
200	421	1676
201	423	1673
202	425	1670
203	427	1667
204	429	1664
205	431	1662
206	433	1660
207	435	1658
208	437	1656
209	439	1654
210	441	1651
211	443	1649
212	445	1647
213	448	1645
214	450	1643
215	452	1641
216	454	1639
217	456	1636
218	458	1634
219	460	1631
220	462	1628
221	463	1626
222	466	1625
223	468	1623
224	470	1621
225	472	1618
226	474	1616
227	476	1614
228	479	1613
229	481	1611
230	483	1608
231	485	1606
232	487	1603
233	489	1601
234	491	1599
235	493	1596
236	495	1594
237	497	1591
238	499	1589
239	501	1586
240	503	1584
241	505	1582
